id	text	label
676209	ইন্ডিয়া গুজরাটে নীলগাই কতগুলো নেবে	None
934972	সাকিব হয়ে গেছে এখন বিসিবির অভিমানী বউ	Abusive
151753	আল্লাহ্ চট্টগ্রামের মানুষদের আরও বেশি করে ধন সম্পদ দান করুনআমীন চট্টগ্রামের অহংকার	None
138783	ঘুস দাতা ও ঘুস গ্রহিতা উভয়ে সমান অপরাধী	None
910877	নান্নুবিশ্বের এক নাম্বার নির্বাচকপ্রধান	None
551609	চাকরির বয়স ৩৫ চাই	None
426801	বাংলাদেশের তারা কোথায় যারা প্রবাসীদের রেমিট্যান্স হিসাব নিকাশ করে চেটে পুটে খাওয়ার আশায় বসে আছে	Abusive
875107	আর্জেন্টিনার চাহিদা তো সব সময় বেশি	None
511250	আপনি এতো ভালো পরিচালক প্রযোজক এমনকি শিল্পিরাও আপনাকে দেখতে পারে না	None
580443	শেখ হাসিনা মানেই নতুন কিছু নির্মাণ নতুন কিছু সৃষ্টি ও নতুন কিছুর উদ্বোধন হে মহান আল্লাহ পাক দেশ উন্নয়ন নেত্রী শেখ হাসিনাকে ফেরাউনের বংশধরদের কাল থাবা থেকে হেফাজত করুন এবং পৃথিবীর বুকে বাংলাদেশকে একটি সম্মানজনক রাষ্ট্রে পরিণত করার তার নিরলস প্রচেষ্টা ও আকাঙ্খা আপনি কবুল করুন	Political Hate
591320	খবিছের মুখে আজকে হাসি নাই কেন	Abusive
927866	শুভ কামনা রইলো বাংলাদেশ ক্রিকেট টিমকে	None
76268	পুলিশ বাদে আইওবল আছে তোমরা	None
643509	ওরে কামরুল বাজানআপনি এতদিন পর খালি মাঠে গোল এটা কি কইলা বাজান	None
565862	খানকির পোলারা হেডার নিউজ দেস নিউজের মাঝখানে দুইবার দেস এড	Profane
135502	আমাদের বাড়িতেও বউ নিয়ে সৌদি আসবে বলেছেন তিনিও এর তারও খামার আছে আমার বাড়িও কিশোরগঞ্জের কটিয়াদী থানার লোহাজুরি ইউনিয়নে	None
234708	আংগুল ফল টক	None
262253	কোটি মানুষের রিজিক অটো রিস্কা ব্যাটারি বন্ধের সিদ্ধান্ত নিলে কঠোর হাতে দমন অবৈধ সেই প্রয়োজনে নিজ হাতে অস্ত্র তুলে নেবো আমাদের পেটে লাথি মারতে আসবেন বাংলাদেশের বেকারত্ব অনেক বেশি আমরা রাজনীতি করিনা বলই যেভাবে সেভাবে আইনকে	None
241870	ফিলিস্তিন হয় আর এক সান্ত্রসবাদী	Abusive
458744	যে মা রাগের বসে ভিক্ষুকের কাছে সন্তান রেখে যেতে পারে তাকে নিয়ে মন্তব্য করার রুচি নাই শুধু এটাই বলতে পারি এই মা কখনো সন্তানের নিরাপত্তা দিতে পারবেনা রাগের বসে সন্তানকে হত্যা ও করতে পারে তাই পালিত বাবা মা কে সন্তান দেয়া উচিৎ তারা বাচ্চাটাকে ভালো ভাবে মানুষ করতে পারবে	None
634696	মিথ্যা কথা বলার জন্য উনাকে নোবেল পুরষ্কার দেওয়া হউক	None
792171	বিশিষ্ট চুলকানি দাতা এই অভিনেতা সত্যি ভাল সূরসুরি দিতে পারেন	Abusive
516325	মাইয়া কেনো আপনার সাথেবলে দিতেন ছেলে আসতে হবে যেমন ফারাজ করিম এরটা একটা ছেলে নিয়েছিলো	Abusive
894463	আমার মতো কমেন্ট পরতে ভালোবাসো কারা	None
114313	এই রকম কথা বলার জন্য এরে তেল দে কে	Abusive
386726	এতে বলাটা হবে	None
751135	শিঘ্রই তোমার রব তোমাকে এতো বেশি দিবেন যে তুমি খুশি হয়ে যাবে সূরা দোহা০৫	None
494817	যারা লিখেছেন তাদেরকে কেন আইনের আওতায় আনতে পারছেন না	None
728052	আস্তে আস্তে সবকিছুই দেবে আমেরিকা	None
838211	খুনিদের সরাসরি গুলি করা উচিত তাহলে আর খুন খারাপি হবে না	Abusive
198492	বাল্ পাখনা কাউয়া	Profane
591057	প্রশাসন নাকি জনবান্দববিরাট জোকহ	Abusive
800551	আমেরিকার দাদাগিরি শেষ	Abusive
904504	বস মেন্টর না বসের কথায় যেটা বুজলাম বস খেলতে চায় আর বসতো খেলতেই পারে কেননা বস ওয়ানডে থেকে অবসর নেন নাই	None
102478	লোকজন মনে মনে বলতেছেবিরিয়ানি আর টাকা কবে যে পাবোতাদের কানে কোনো বক্তব্য যাচ্ছে না	None
147426	পাকিস্তানিদের মতো একটারবদলা তিনটা না নিলে এদের কোনদিন শিক্ষা হবে এদের স্পর্ধা বেড়ে গিয়েছে প্রতিবাদ না করার কারণে	Political Hate
842708	২০০৮ সালে যেমন আপনারা ৩০ টাও আসন খুঁজে পাননি তো এই ১৫ বছরে কী এমন করলেন যে ৩০ টা থেকে ২৫০ আসন পেয়ে যাবেন	Political Hate
314510	বিসিবির সবগুলোকে পদত্যাগ চাই	Political Hate
340175	বাঙলা দেশ সরকার মৈদুল ইসলামের মুন্ডুচ্ছেদ করে দিকআর যারা সাহায্য করেছে যাবৎজীবন কারাগারে রেখে দেওয়া হোক বহু বিবাহ নিষিদ্ধ করা হোক দেশে	Abusive
206476	ইদানীং একটা জিনিস লক্ষ্য করছি এর বাথরুম আসলে এর একি সময়ে বাথরুম ধরে	Abusive
672589	এর জন্য আইসিসি দায়ী	Abusive
926353	বাংলা ওয়াশ সিরিজে বাংলা ওয়াশ হওয়া টাই বাংলাদেশের লক্ষ্য	Abusive
435979	ইমরান খানের জন্য আন্তরিক শুভেচ্ছা ও ভালো বাসা রইল আজীবন	None
873825	এর চেয়ে দেশের ফুটবলের পেছনে খরচ করলেই হত	None
54386	দোয়া ও ভালোবাসা অবিরাম সুমন ভাইয়ের জন্য জয় হবে ইনশাআল্লাহ	None
722356	বাংলাদেশে কত দিন পরে হবে লেজোর	None
287834	বাপের জন্ম এত তেল দেখিনি	None
525604	অনেকের দেখি এই বাংলার মহান সন্তানদের চেয়ে হাজার কিলোমিটার দূরের লোকদের নিয়ে বেশি আগ্রহ এর কারণ কেউ বলবে	None
478517	কবে কার খবর এখন তো ধান কাটতাছে আর এই রিপোর্ট দেখলাম ধান কাছে কেবল বেড়ে উঠতাছে	None
159652	আজ যাত্রী বহন করবে কি যদি যাত্রী বহন করে তবে আমি যেতে চাই	None
571130	নায়ক দিয়ে ভোক্তা অধিকার হাস্যকর ছাড়া আর কি হতে পারে	Abusive
591389	পাচারকারি যেই দলের হোক না কেন তাদের আইনের আওতায় এনে দৃষ্টান্ত মূলক শাস্তি দাবি করছি যদি সম্ভব না হয় তাহলে তাদের দেশে থাকা পরিবারের লোকদের আইনের আওতায় আনা হোক তাহলে সফলতা আসবে	None
417963	রাস্তা তৈরি করছে নাকি শুধু ঢালাই দিছে	None
459844	সময় টিভির কোন সাংবাদিকের নাম্বার হবে	None
68162	আপনাদের কলিজাও কাপেনা এমন মিথ্যা কেমনে বলেন	Abusive
348126	মোখা চলে গেছে আল্লাহর কাছে শোকর আলহামদুলিল্লাহ	None
526439	আপননে সমালচনা জন্ম দেননিজ বন্ধু কেউ খোঁচা দিতে আপনে ছাড়েন না	None
578488	আলহামদুলিল্লাহ সরকার পুরোধান কে	None
300960	ভোট চোরদের সাইস করা হবে তাই অস্ত্র আনতাছে	Abusive
346058	আল্লাহ আমাদের সকলকে হেফাজত করুন	None
646429	সময় টিভিকে দেয়া বক্তব্যে এটা তো দেশেই দেওয়া সম্ভব	None
857592	ঢুশ খাইয়া হুশ ফিরছে তাহলে	None
804103	দালালি বন্ধ করে দেশের খবর বল	Abusive
262812	যাঁরা সাংবাদিক নামের সাংঙতিক তাদের গায়ে আগুন জলে	Abusive
134790	বরিশালের রিপোর্টারের কথা বলার সময় ঐ যে হাঁপানি রোগ আছে সেটা ঠিক করতে হবে	None
125135	হিন্দু বাচ্চাদের কি দেওয়া হলো	Religious Hate
245543	আমরা হলাম শিক্ষিত রুপে অশিক্ষিত অসভ্য নোংরা বিশৃঙ্খলা অনিয়মদুর্নীতি করা জাতিমূর্খ নেতারা আর মাথা মোটা চেয়ারে বসার জন্য মুখস্থ বিদ্যায় কমকর্তারা কত আরাম আয়েশ করে গাঁজা খোর বুদ্ধি বিশেষজ্ঞ অভিজ্ঞতা দিয়ে পরিকল্পনা করে বাহানা করে মিথ্যা আশ্বাস দিয়ে অনিয়মদুর্নীতি করে দেশ ও বিদেশে সম্পদে পাহাড় গড়ে তুলাসরকারের কত ক্ষতি করছে কোন মায়া নেই দেশের প্রতি দেশ প্রেমিকের শিক্ষা নেই তাই মায়া নেই জবাবদিহিতা বিচার শাস্তি নিরপেক্ষ তদন্ত কঠোর আইন নাই বলে সব সম্ভবআল্লাহ সবাই কে হেদায়েত দান করুন দেশ প্রেমিকের শিক্ষা নিয়ে দেশ ও দেশের অসহায় গরীব দুঃখী মানুষের কষ্ট বুঝে সেবা করার তৌফিক দান করুন খারাপ লাগে দেশের খারাপ কিছু শুনলে এখন এখন আমাদের ১৫০২০০ বছরে চিন্তা ভাবনা করে ভবিষ্যৎ প্রজন্ম কথা ভেবে সঠিকভাবে বিশ্লেষণ করে সকল উন্নয়নমূলক কাজগুলো আধুনিক শক্তিশালী টেকসই মানের সেবা কৃষি শিল্প খাত ও কাজ করতে হবে কোন ছয়নয় বাজেট সময় বাড়ানো নকশা ভুল করা সহ যত রকম বাহানা চলবে নাসুন্দর ভাবে চারপাশে দেখে নকশা করতে হবেশিক্ষায় শিক্ষিত দেশ প্রেমিক হতে হবে সকল সেবা মান নিয়মকানুন শৃঙ্খলা ভাবে করতে হবে জনগণ সহজে যাতায়াত করতে পারে গাড়ি বিমান ডাবল লাইন করে বাস ট্রেন নৌযান যানজট মুক্তভাবে হয়কোন টিকিট কাউন্টার ও বিমানবন্দরে যেন হয়রানি পেরেশানি না হয়গ্যাস বিদ্যুৎ পানি ওয়াসাসড়ক ৬৮ লাইনের অলিগলি গ্রামীণ রাস্তা ঘাটে মাটির নিচে দিয়ে সকল ইলেকট্রনিক তার ও ড্রেনসহ প্রশস্ত করতে হবে আন্ডারপাস রাস্তা ইর্উটান ব্যবস্থা করতে হবেকমকর্তা ও নেতারা জড়িত হয়ে দখল করা জমি অবৈধভাবে দখল চাঁদাবাজি ফুটপাত মুক্ত করতে হবেনদ নদী খাল বিল বেরিবাধ টেকসই মানের ব্লগ নির্মান ও নদী খাল দিয়ে ওয়াক ওয়ে ও যাতায়াত গাছের ব্যবস্থা করতে হবে নিরাপত্তা আশ্রয় কেন্দ্রসরকারি হাসপাতালে সকল অফিস বিশ্ববিদ্যালয়ের কলেজ হল এলাকার খেলার মাঠ পার্ক কমিটি সেন্টার ও পর্যটন এলাকা শিল্প সংস্কৃতি সুন্দর ভাবে ভবিষ্যৎ প্রজন্ম কথা ভেবে সঠিকভাবে বিশ্লেষণ করে পরিকল্পনা করে সাজাতে হবে নির্মান করতে হবেঅলিগলি সড়ক সিসিটিভি স্থাপন করা বাতি লাগানে ট্যাফিক যানজট আধুনিক সিস্টেমের আওতায় আনতে হবেচারপাশে পরিস্কার করা ময়লা পোস্টার মুক্ত করতে হবেবিশৃঙ্খলা অনিয়মদুর্নীতি ঘুষ চুরি স্বজনপ্রীতি ভেজাল ঔষধ কাপড় খাদ্য করলে পন্য দাম বাড়ানো চোরাচালান মাদক নেশা নিয়ে সিন্ডিকেট নিয়ন্ত্রণ করলে চিকিৎসা সেবা না করলে সড়ক দুর্ঘটনায় ও শৃঙ্খলা নিয়মকানুন না মানলে শিক্ষা নিয়ে ব্যবসা রাজনীতি করলে কঠোর শাস্তি দিতে হবে জরিমানা জবাবদিহিতা করতে হবেঅবৈধভাবে দখল চাঁদাবাজি করা দেখানো উচ্ছেদ অভিযান দেয় পরে আবার সিস্টেম করে নতুন ভাবে গড়ে তুলে তা বন্ধ করতে হবেবড় পদ চাকরি টাকা লুটপাট করার জন্য মুখস্থ বিদ্যা অর্জন করা মনমানসিকতা পরিবর্তন করতে হবেএকসঙ্গে সকল কাজ সঠিকভাবে বিশ্লেষণ করে করতে হবে যেন বারে বারে কাজ করতে না হয় টাকা নষ্ট না হয় মানুষের কষ্ট ভোগান্তি না হয় সকল অফিসে যেন অনিয়মদুর্নীতি সিন্ডিকেট না হয়কঠোর আইন করে সকল সরকারি স্বায়ত্তশাসিত প্রশাসনের হাসপাতালে খেলাধুলা কমিটি যেন কোন অনিয়মদুর্নীতি দেশ ও দলের নাম বিক্রি করে জনগণের কষ্ট টাকা লুটপাট অবৈধভাবে দখল চাঁদাবাজি যানজট সৃষ্টি করা ব্যাংক লুটপাট করা দাম বাড়ানো মাদক নেশা করলে শিক্ষা নিয়ে রাজনীতি ব্যবসাচিকিৎসা খাদ্য জনগণের সেবা নিয়ে ছয়নয় উপর থেকে নিচ পর্যন্ত সিন্ডিকেট মাধ্যমে চুরি মিথ্যা আশ্বাস বাহানা দিয়ে অনিয়মদুর্নীতির স্বজনপ্রীতি করতে না পারেকেউ যেন হয়রানি পেরেশানি ভোগান্তিতে না ভোগেতিন দল বিশিষ্ট কমিটি বদলি সাময়িক বরখাস্ত না করে সরাসরি তিন প্রজন্ম যেন কোন চাকরি না পায়সুন্দর ভাবে সাজাতে হবে যারা নিয়মকানুন শৃঙ্খলা আইনকানুন ময়লা অর্বজনা নোংরা করবে নিয়ম ভাংঙবে তাদের কঠোর শাস্তি দিতে হবে সকল উন্নয়নমূলক কাজগুলো বড় ছোট কাঠামো অবকাঠামো কাজ গুলো সেনাবাহিনীর ইন্জিনিয়ার সাথে পরামর্শ করে বা তাদের দায়িত্ব দিয়ে কাজ করতে হবে সকল সরকারি স্বায়িত্বশাসিত প্রশাসনের খেলোয়াড়দের কমকর্তা বাধ্যতামূলক সেনাবাহিনীর প্রশিক্ষণ নিতে হবে ৫ মাস আগে দেশ প্রেমিক শিক্ষা তারপর দেশের অসহায় গরীব দুঃখী মানুষের কষ্ট বুঝে সেবা কাজ করা সকল অপরাধ অনিয়মদুর্নীতি সকল অপকর্মে তদন্ত র্যাব সদস্য দিয়ে করাতে হবেঅন্য কোন সদস্য দিয়ে নয় কেননা যারা তদন্ত করে তারাও জড়িত অনিয়মদুর্নীতি ঘুষের সাথেদেশ প্রেমিক হয়ে সততা সাথে ভবিষ্যতে প্রজন্মের কথা ভেবে সকল কাজ আধুনিক টেকসই মানের সেবা কাজ করতে হবে	None
378296	উগ্র মৌলবাদী গোষ্ঠী হামাস কে নিচিন্হ করা পৃথিবীর সকল দেশের দায়িত্ব	Religious Hate
178024	যদিও মর্মান্তিক ঘটনা তবে এস আলমের পাপের শাস্তি এটা ব্যাংক লুট মানি লন্ডারিংয়ের টাকা এগুলা তো হালাল টাকা না পাপ পাপের বাপকেও ছাড়ে না আল্লাহ ছাড় দেন কিন্তু ছেড়ে দেন না এটাই তার প্রমান আল্লাহর কাছে দোয়া করি সকলকে হেফাজত করুন	Religious Hate
241700	এই ঘটনা কাম্য না	None
867813	হায়রে পিএসজি যাকে আগের বছর পা চেটে ক্লাব থেকে যেতে দিল না এবং ক্লাবের লিডারশীপও যাকে দেওয়া হয়েছিল সেই কচ্ছপই এখন তোমাদের পায়ে কুঠার মারল এর থেকে যদি মেসি নেইমারকে এরকম সম্মান দিতে তাহলে আজকে এমন দিন দেখতে হতো না	Abusive
13683	নবীর দেশে কিন্তু আবুজাহেল ও ছিল এটা ভুলে গেলে চলবে না	None
335789	নাইস মানুষিক কষ্ট মানে বোঝে না	None
533709	তানভীর সাহেব কি গানের গলা আপনার	None
765855	আন্দামান সাগরে ভাসমান রহিঙ্গা মুসলিমদের কে আশ্রয় দেওয়ায় ইন্দোনেশিয়ার সরকার কে প্রাণঢালা অভিনন্দন ও শুভেচ্ছা জানাচ্ছি	None
319912	বাংলাদেশে বাবার নামে পরিচয় দেয়তেমনি আপনার বাবা আমি যা জানি তিনি ছিলেন এক জন্য বিঞ্জানী তাহলে আপনে ও বিঞ্জানী হলে ভালো হতো	None
425852	ভিডিও তে সাউন্ড ৫ বিজ্ঞাপনের সাউন্ড ৯৫	None
328645	বেটির বিচার হোক আকাম কইরা আসছে বিচার চাইতে আগে কার বা ফালাইছো তুমি ফাসি দিতে যাও নি গেছো অভিনয় করতে যদি ফাসি দিতেই যাইতা তাইলে আর মরার আগে কেউ জানতো না শিয়ালতো মুরগীকে খাওয়ার জন্য কতই অভিনয় করবে তারজন্য কি বোচাকোদা মুরগী শিয়ালের অভিনয় বুঝবে না এখন আরেকজন রে কবুল বল	Profane
65471	আমরা শুনেছি বি এন পির নেতারা আওয়ামী লীগের কাছে থেকে টাকা খেয়ে বিক্রি হয়ে গেছে যার কারনেই আন্দোলন গড়ে তুলে না নেতারা ঠিক ই সুখে শান্তিতে বসবাস করছে শুধু তৃণমূল পর্যায়ে সাধারণ কর্মিরা হামলা মামলায় ধ্বংস হয়ে যাচ্ছে শুধু টাইম পাচ করতেছে নেতারা	None
418890	এক মিনিটের খবরের মধ্যে আবার এড শালারা মানুষ হইল না	Profane
80937	শিক্ষা মন্ত্রী দীপু মনিকে সরানো উচিত কারণ শালী বাংলাদেশের শিক্ষা উল্টিয়ে পাল্টিয়ে শেষ করে ফেলছে	Profane
704891	আপনারা তো ডিম নিয়ে পরে আছেন ফিটের দাম তো কমে না আপনারা তো টিপিতে দেখান না	None
505305	বাল করবে বালের ম্যালায় জাইয়া দেশের সোগাতো মারা সারা	Profane
567032	আমার বাকশালি আপা গো পিটে ছালা বান্দ্ব সময় নাই	Political Hate
186985	চুরের অধীনে কোনো নির্বাচন করতে দেয়া হবে না	Political Hate
215894	অবরোধ চলাকালে গাড়ি না বের করা অনেক ভালো	None
514297	এ শলায় মেয়ে লোকের দালাল শাকিব খান	None
423865	বাংলাদেশে কবে হবে এমন	None
532740	জয় কবে থেকে নায়ক কোন দেশের নায়ক	None
56817	শালায় এক নাম্বার বাটপার	Abusive
677214	এসব মনে রাখেন একদিন এসবের জবাব দেওয়া হবে	None
490087	খাগড়াছড়ির ও বান্দর বোন এর মধ্যে বড আকারের ইটের কারখানা তৈরি করা এবং রড সিমেন্ট পাথর এর কারখানা তৈরি করা হোক তৈরি করা একান্ত দরকার বাংলা দেশের জন্য জরূরী ভিত্তিতে দরকার	None
66408	লেজ গুটিয়ে দৌড় দেওয়ার অভ্যাসটি বেশি	None
100143	কই থেকে আসলেন	None
730628	উস্কানি দিয়ে পিছ পা হবে এটাই এট ধর্মকিছুদিন পর দেখবেন আর কোনো সাহায্য দিচ্ছে না	Abusive
542008	গত কাল সারাদিন বৃষ্টিতে কাজ করে জ্বর আইসে	None
87489	ভাই ব্যারিষ্টার মানুষ বলতে ডর লাগে তবু ও না বললে হজম হইতেছে না দেশের ভবিষ্যৎ দেখে ভাইয়ের বাকি চুল গুলো থাকবে তো	None
4770	ভাই লাইক চাই	None
123122	কতৃপক্ষের দৃষ্টি আকর্ষণ করছি খবরের মধ্যে এতো এড আসে কেন	None
406497	আমি যেতে চাই কিসের মাধ্যমে যাবো বলবেন প্লিজ	None
836413	কথা শুনে মনে হয় এখনও সাইকেল চালায় নি কিন্তু আমি শিউর বাস ট্রাক এরোপ্লেন সবই চালিয়েছে	None
213158	মিথ্যা মামলা দিয়ে বেশিক্ষন আটকে রাখতে পারবেনা সত্যের জয় নিশ্চিত হবে ইনশাআল্লাহ	None
426076	আল্লাহ আমাদের তৈরি করেছেন	None
132523	জুতা মার হালা তদন্ত কমিটি তিন দিন পর গেছে তদন্ত করতে নাটক বাজ জারু বারি মারা দরকার তিন দিন পর ওখানে গেছে তদন্ত করতে শালা নলা	Profane
651382	আমার মনে হয় রাশিয়ার এই প্রস্তাব ফিরিয়ে দেওয়া ভুল হবে এই প্রস্তাব মেনে নিয়ে বাংলাদেশের জনগণকে বাচাও তোমরা	None
225253	আল্লাহ তুমি ছার দেও ছেরে দেও না	None
520355	গালিগালাজ ছাড়া নগ্নতা ছাড়া কিভাবে নাটক হিট করা যায় সেটা আশফাক নিপুন প্রমান করেছেন	None
88339	সময় টিভি সবসময় অস্বাভাবিক আমরা জানি হালুয়া রুটির গল্প	Abusive
855278	বিরিজের ভিতরে রড এর পরিবর্তে বার দিয়েছে আপনাকে ধন্যবাদ দিতেই হয়	None
838273	এই বেটি বাংলাদেশ মুসলিম দেশ আর তুমিতো নামধারী মুসলমান	Abusive
70922	আওমিলিগ এর সময় সেস জনোগনের বাংলাদেশ	Political Hate
81221	একেই বলে মানবতা ভবিষ্যৎ রাজনীতি যেন এমন হয় এই আশাই করি	None
718099	এতো পজিটিভ একজন মানুষ অপুঅনেক শক্তি পেলাম ওর কথা শুনে	None
352344	যে যায় বলুক ট্রাম্প একজন ভালো মানুষ	None
81956	পৃথিবীতে একটা মানুষ যার লজ্জা নাই শরম নাই সেটা হলো শেখ হাসিনা	Abusive
